stoptime,bikeid,tripduration,from_station_name,to_station_name,from_station_id,to_station_id,usertype,gender,birthyear
10/13/2014 12:47,SEA00151,77.656,9th Ave N & Mercer St,9th Ave N & Mercer St,DPD-01,DPD-01,Member,Male,1985
10/13/2014 12:51,SEA00269,179.939,NE 42nd St & University Way NE,12th Ave & NE Campus Pkwy,UD-02,UD-04,Short-Term Pass Holder,,
10/13/2014 12:58,SEA00355,590.698,9th Ave N & Mercer St,Dexter Ave & Denny Way,DPD-01,SLU-18,Short-Term Pass Holder,,
10/13/2014 12:52,SEA00499,193.828,6th Ave & Blanchard St,Westlake Ave & 6th Ave,BT-04,SLU-15,Member,Male,1981
10/13/2014 12:58,SEA00177,258.419,1st Ave & Marion St,2nd Ave & Spring St,CBD-05,CBD-06,Member,Male,1978
10/13/2014 12:59,SEA00269,335.591,12th Ave & NE Campus Pkwy,NE 42nd St & University Way NE,UD-04,UD-02,Short-Term Pass Holder,,
10/13/2014 13:15,SEA00464,1254.226,NE 42nd St & University Way NE,Children's Hospital / Sandpoint Way NE & 40th Ave NE,UD-02,DPD-03,Member,Male,1987
10/13/2014 13:04,SEA00308,425.148,Occidental Park / Occidental Ave S & S Washington St,1st Ave & Marion St,PS-04,CBD-05,Member,Female,1963
10/13/2014 13:18,SEA00344,1189.182,2nd Ave & Pine St,2nd Ave & Pine St,CBD-13,CBD-13,Member,Male,1976
10/13/2014 13:16,SEA00230,1003.336,Frye Art Museum / Terry Ave & Columbia St,Frye Art Museum / Terry Ave & Columbia St,FH-01,FH-01,Short-Term Pass Holder,,
10/13/2014 13:13,SEA00034,735.127,Harvard Ave & E Pine St,E Harrison St & Broadway Ave E,CH-09,CH-02,Member,Male,1946
10/13/2014 13:10,SEA00353,518.048,Westlake Ave & 6th Ave,Westlake Ave & 6th Ave,SLU-15,SLU-15,Member,Male,1977
10/13/2014 13:12,SEA00043,607.141,Dexter Ave & Denny Way,2nd Ave & Spring St,SLU-18,CBD-06,Short-Term Pass Holder,,
10/13/2014 13:16,SEA00444,758.603,6th Ave & Blanchard St,Occidental Park / Occidental Ave S & S Washington St,BT-04,PS-04,Member,Male,1981
10/13/2014 13:14,SEA00485,616.752,UW Magnuson Health Sciences Center Rotunda / Columbia Rd & San Juan Rd,UW Magnuson Health Sciences Center Rotunda / Columbia Rd & San Juan Rd,UW-10,UW-10,Member,Male,1958
10/13/2014 13:30,SEA00250,1516.688,2nd Ave & Spring St,2nd Ave & Vine St,CBD-06,BT-03,Member,Male,1976
10/13/2014 13:22,SEA00459,870.243,Occidental Park / Occidental Ave S & S Washington St,1st Ave & Marion St,PS-04,CBD-05,Member,Female,1973
